pSTAT5,Foxp3,CD25,PD1,CD4,Position X,Position Y,Position Z
81.5704,277.783,100.741,162.63,297.548,624.936,1799.5,3.19852
37.8885,326.946,49.3797,67.287,240.688,773.521,1650.86,6.37673
55.1104,291.592,86.0627,119.579,232.335,670.653,1759.54,7.5206
38.2681,355.278,72.5844,160.793,272.652,799.716,1623.54,12.7343
35.7509,328.405,55.2951,83.9269,198.353,622.232,1803.59,9.74426
31.6096,408.446,40.7765,481.83,191.031,708.124,1717.69,10.0866
111.166,378.888,112.842,161.914,377.535,782.756,1645.98,2.46673
30.3657,297.759,45.903,169.833,179.01,791.137,1632.71,12.2002
27.8233,401.197,62.3142,91.2522,178.526,697.853,1729.19,11.9353
26.3493,433.481,48.7222,71.7667,219.21,921.838,1463.24,12.6943
34.9494,364.087,52.4138,138.046,194.123,850.192,1534.73,12.5002
65.6407,357.211,92.1696,70.7237,270.339,808.484,1577.61,12.6877
81.8505,357.552,65.6347,331.436,432.115,779.172,1608.47,4.43783
65.5371,610.549,122.169,315.35,326.321,685.095,1706.42,5.27861
57.2936,621.55,150.456,250.548,253.748,688.848,1704.18,4.43085
25.1184,389.094,29.8894,70.5285,154.161,549.854,1839.06,13.356
58.4971,265.95,48.8569,92.4081,201.017,791.37,1595.97,13.8121
39.6416,379.13,34.7629,115.239,322.342,869.837,1521.12,12.72
41.3461,371.343,56.6559,94.1524,354.102,862.009,1528.08,11.4207
31.7479,361.65,33.3291,62.9818,233.98,680.199,1710.14,12.8091
59.692,469.322,111.891,225.995,360.594,864.708,1529.1,6.17828
39.4105,498.835,66.3313,162.71,277.523,717.631,1677.5,8.76363
77.9723,470.1,135.19,147.291,549.712,833.032,1561.97,6.78481
35.6294,425.082,49.1319,208.227,246.375,631.227,1762.22,12.7729
54.586,435.763,73.0237,78.4401,152.97,591.758,1803.73,2.58477
61.0204,431.761,123.763,99.6127,404.321,840.675,1553.71,9.48642
89.6136,580.819,186.216,249.504,316.43,798.972,1604.64,6.94428
45.0921,291.539,66.9702,76.4927,265.313,894.855,1502.79,7.30404
53.8376,419.134,134.488,133.571,253.247,808.849,1588.18,6.35486
29.8435,238.903,40.9022,75.4386,114.81,929.497,1470.14,9.37124
57.5611,312.819,153.06,164.328,466.112,838.195,1559.31,9.10204
55.8138,460.473,98.0602,90.1059,289.133,899.31,1500.17,5.12471
53.5434,491.637,254.675,139.536,406.089,882.812,1516.84,9.87083
67.0807,332.492,194.513,183.705,528.564,840.754,1560.31,9.49718
35.6851,292.151,68.8549,95.3469,180.421,856.55,1541.32,13.1967
48.8021,373.628,117.212,70.5411,179.021,681.089,1723.69,4.54843
50.6375,384.824,51.4894,82.0736,246.491,786.226,1615.17,5.62931
41.7873,265.948,42.178,48.5486,214.353,573.355,1829.12,5.68959
49.2743,349.212,52.9553,102.856,235.231,806.081,1594.61,12.7067
32.8826,290.305,81.0845,176.671,168.371,955.494,1442.93,10.9711
39.7592,272.896,52.3767,60.3848,206.289,779.868,1620.69,12.8576
35.7759,331.28,34.8849,62.8641,208.031,827.974,1573.18,12.0136
36.8265,398.127,132.266,91.7139,258.29,911.178,1491.81,11.9993
36.4941,237.953,83.6729,78.7892,249.445,714.082,1688.89,2.77795
103.639,261.219,112.235,93.8051,252.387,733.1,1672.8,2.12027
66.7222,341.337,90.2525,174.588,214.234,652.21,1752.56,2.37536
