pSTAT5,Foxp3,CD25,PD1,CD4,Position X,Position Y,Position Z
24.6047,27.0678,28.3333,55.0944,167.133,915.176,1509,11.0914
24.5175,10.5372,15.519,59.2807,231.398,832.492,1589.49,15.0759
52.272,72.9474,48.4034,153.748,189.637,830.711,1594.69,6.59912
54.1755,82.2203,51.281,127.427,165.24,772.397,1652.36,2.41551
64.9632,66.4746,88.7602,170.08,183.003,894.287,1530.85,4.01947
33.6112,46.8277,45.5671,118.248,177.058,864.423,1557.44,9.94613
40.7439,34.7099,59.611,98.4019,246.846,827.077,1595.08,9.37475
53.2799,53.2696,55.6375,87.0422,203.975,860.047,1566.27,5.50053
41.8025,39.4738,45.1637,87.5725,252.633,809.945,1613.5,7.63591
22.4054,20.0362,20.8067,44.8523,169.164,894.967,1527.26,13.424
42.2403,43.2946,37.7085,84.4636,280.71,834.293,1588.5,11.4044
36.4962,31.5628,25.218,56.2137,281.723,843.146,1579.28,12.2943
29.488,40.7704,52.4944,74.6648,161.381,822.832,1601.77,6.87481
39.2934,46.1339,35.6937,66.2379,189.395,881.767,1542.19,5.99054
47.8262,43.5581,42.2035,66.286,192.304,839.109,1586.95,8.13038
